date,n,rolling_avg
2020-04-05,72,75.42857142857143
2020-04-06,87,76.57142857142857
2020-04-07,85,78.57142857142857
2020-04-08,68,77.14285714285714
2020-04-09,83,77.71428571428571
2020-04-10,94,80.57142857142857
2020-04-11,99,84
2020-04-12,82,85.42857142857143
2020-04-13,87,85.42857142857143
2020-04-14,70,83.28571428571429
2020-04-15,48,80.42857142857143
2020-04-16,72,78.85714285714286
2020-04-17,79,76.71428571428571
2020-04-18,92,75.71428571428571
2020-04-19,99,78.14285714285714
2020-04-20,81,77.28571428571429
2020-04-21,79,78.57142857142857
2020-04-22,93,85
2020-04-23,74,85.28571428571429
2020-04-24,93,87.28571428571429
2020-04-25,99,88.28571428571429
2020-04-26,85,86.28571428571429
2020-04-27,62,83.57142857142857
2020-04-28,74,82.85714285714286
2020-04-29,72,79.85714285714286
2020-04-30,68,79
2020-05-01,111,81.57142857142857
2020-05-02,95,81
2020-05-03,112,84.85714285714286
2020-05-04,73,86.42857142857143
2020-05-05,81,87.42857142857143
2020-05-06,84,89.14285714285714
2020-05-07,73,89.85714285714286
2020-05-08,70,84
2020-05-09,87,82.85714285714286
2020-05-10,118,83.71428571428571
2020-05-11,100,87.57142857142857
2020-05-12,74,86.57142857142857
2020-05-13,71,84.71428571428571
2020-05-14,82,86
2020-05-15,102,90.57142857142857
2020-05-16,71,88.28571428571429
2020-05-17,95,85
